# BUSCO version is: 5.5.0 
# The lineage dataset is: enterobacterales_odb10 (Creation date: 2024-01-08, number of genomes: 212, number of BUSCOs: 440)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
312at91347	Complete	NODE_34_length_34393_cov_18.824950	4348	8376	+	2313.4	1147	https://v10-1.orthodb.org/?query=312at91347	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
373at91347	Complete	NODE_34_length_34393_cov_18.824950	8453	12676	+	2414.3	1186	https://v10-1.orthodb.org/?query=373at91347	DNA-directed RNA polymerase subunit beta'
854at91347	Complete	NODE_13_length_168725_cov_21.080155	10370	13225	+	1430.9	813	https://v10-1.orthodb.org/?query=854at91347	Valine--tRNA ligase
1674at91347	Complete	NODE_14_length_164446_cov_17.477931	87156	89738	-	1216.5	711	https://v10-1.orthodb.org/?query=1674at91347	Leucine--tRNA ligase
2121at91347	Complete	NODE_6_length_224352_cov_18.666855	38218	40815	-	1318.0	709	https://v10-1.orthodb.org/?query=2121at91347	DNA topoisomerase I, type IA
2325at91347	Complete	NODE_7_length_201135_cov_19.102095	61778	65314	-	1306.0	956	https://v10-1.orthodb.org/?query=2325at91347	UvrD-like DNA helicase, C-terminal
2605at91347	Complete	NODE_4_length_362292_cov_18.613426	15071	18553	-	1684.7	955	https://v10-1.orthodb.org/?query=2605at91347	DNA-directed DNA polymerase
2659at91347	Complete	NODE_4_length_362292_cov_18.613426	108844	111507	-	1513.8	775	https://v10-1.orthodb.org/?query=2659at91347	Pyruvate dehydrogenase E1 component
3039at91347	Complete	NODE_2_length_391047_cov_19.755511	309336	312062	-	1330.0	762	https://v10-1.orthodb.org/?query=3039at91347	NADH-quinone oxidoreductase
3084at91347	Complete	NODE_4_length_362292_cov_18.613426	202301	205525	-	1763.0	932	https://v10-1.orthodb.org/?query=3084at91347	Carbamoyl-phosphate synthase large chain
3734at91347	Complete	NODE_4_length_362292_cov_18.613426	126354	129059	-	1435.9	788	https://v10-1.orthodb.org/?query=3734at91347	SecA, preprotein cross-linking domain
4210at91347	Complete	NODE_5_length_245832_cov_18.562804	129052	131406	-	1324.1	682	https://v10-1.orthodb.org/?query=4210at91347	Lon protease
4269at91347	Complete	NODE_22_length_94244_cov_19.699821	61470	63665	-	930.6	609	https://v10-1.orthodb.org/?query=4269at91347	Primosomal protein N'
4411at91347	Complete	NODE_2_length_391047_cov_19.755511	270417	273050	-	1391.6	746	https://v10-1.orthodb.org/?query=4411at91347	DNA gyrase subunit A
4459at91347	Complete	NODE_4_length_362292_cov_18.613426	191734	194082	+	933.0	632	https://v10-1.orthodb.org/?query=4459at91347	Organic solvent tolerance-like, N-terminal
4673at91347	Complete	NODE_2_length_391047_cov_19.755511	161859	163901	+	1001.5	553	https://v10-1.orthodb.org/?query=4673at91347	Methionine--tRNA ligase
4867at91347	Complete	NODE_2_length_391047_cov_19.755511	274270	276555	+	1321.1	661	https://v10-1.orthodb.org/?query=4867at91347	Ribonucleoside-diphosphate reductase
5022at91347	Complete	NODE_21_length_100685_cov_19.804688	44061	46475	-	1232.5	609	https://v10-1.orthodb.org/?query=5022at91347	DNA gyrase subunit B
5062at91347	Complete	NODE_4_length_362292_cov_18.613426	213258	216110	-	1283.9	779	https://v10-1.orthodb.org/?query=5062at91347	Isoleucine--tRNA ligase
5072at91347	Complete	NODE_14_length_164446_cov_17.477931	148166	150973	+	1217.9	729	https://v10-1.orthodb.org/?query=5072at91347	2-oxoglutarate dehydrogenase E1 component
5392at91347	Complete	NODE_3_length_371046_cov_18.530575	147351	149393	-	1050.8	607	https://v10-1.orthodb.org/?query=5392at91347	Oligopeptidase A
5537at91347	Complete	NODE_23_length_86473_cov_18.877633	64447	66711	+	1083.0	613	https://v10-1.orthodb.org/?query=5537at91347	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
6335at91347	Complete	NODE_5_length_245832_cov_18.562804	139853	141844	+	1082.0	554	https://v10-1.orthodb.org/?query=6335at91347	Cytochrome c oxidase subunit I
6493at91347	Complete	NODE_24_length_82793_cov_16.880446	80315	82729	-	1161.0	662	https://v10-1.orthodb.org/?query=6493at91347	DNA mismatch repair protein MutS
6639at91347	Complete	NODE_19_length_114059_cov_20.720596	12050	14740	-	1162.2	730	https://v10-1.orthodb.org/?query=6639at91347	Translation initiation factor IF-2
6839at91347	Complete	NODE_19_length_114059_cov_20.720596	23875	25818	-	979.3	490	https://v10-1.orthodb.org/?query=6839at91347	Peptidase M41
6990at91347	Complete	NODE_4_length_362292_cov_18.613426	55324	57876	-	1034.7	588	https://v10-1.orthodb.org/?query=6990at91347	Penicillin-binding protein 1B
7453at91347	Complete	NODE_9_length_193741_cov_18.504183	65612	68239	+	1184.4	738	https://v10-1.orthodb.org/?query=7453at91347	Alanine--tRNA ligase
7906at91347	Complete	NODE_2_length_391047_cov_19.755511	313932	315740	-	1067.7	502	https://v10-1.orthodb.org/?query=7906at91347	NADH-quinone oxidoreductase subunit C/D
8198at91347	Complete	NODE_22_length_94244_cov_19.699821	4766	7558	+	1199.7	754	https://v10-1.orthodb.org/?query=8198at91347	DNA polymerase I
8345at91347	Complete	NODE_16_length_157941_cov_15.491664	128694	130622	-	1025.0	562	https://v10-1.orthodb.org/?query=8345at91347	Threonine--tRNA ligase
8636at91347	Complete	NODE_14_length_164446_cov_17.477931	114540	116207	+	833.6	469	https://v10-1.orthodb.org/?query=8636at91347	Glutamine--tRNA ligase
8822at91347	Complete	NODE_16_length_157941_cov_15.491664	123758	126145	-	887.0	664	https://v10-1.orthodb.org/?query=8822at91347	Phenylalanine--tRNA ligase beta subunit
9070at91347	Complete	NODE_34_length_34393_cov_18.824950	32402	33991	-	740.2	435	https://v10-1.orthodb.org/?query=9070at91347	Methylglyoxal synthase-like domain
9079at91347	Complete	NODE_4_length_362292_cov_18.613426	4923	6641	+	791.1	486	https://v10-1.orthodb.org/?query=9079at91347	Proline--tRNA ligase
9375at91347	Complete	NODE_12_length_172642_cov_15.782778	85536	87113	-	784.2	436	https://v10-1.orthodb.org/?query=9375at91347	GMP synthase
9490at91347	Complete	NODE_24_length_82793_cov_16.880446	51223	52860	+	842.4	447	https://v10-1.orthodb.org/?query=9490at91347	CTP synthase
9913at91347	Complete	NODE_22_length_94244_cov_19.699821	15891	17714	+	967.7	517	https://v10-1.orthodb.org/?query=9913at91347	Transcription factor, GTP-binding domain
10523at91347	Complete	NODE_17_length_146373_cov_17.419007	126807	128555	-	974.8	507	https://v10-1.orthodb.org/?query=10523at91347	ABC transporter type 1, transmembrane domain
10905at91347	Complete	NODE_11_length_174078_cov_17.257407	106877	108352	-	710.5	418	https://v10-1.orthodb.org/?query=10905at91347	glucose-6-phosphate dehydrogenase
11158at91347	Complete	NODE_18_length_127507_cov_21.938837	110417	112258	+	1115.7	564	https://v10-1.orthodb.org/?query=11158at91347	RNA polymerase sigma-70
11276at91347	Complete	NODE_19_length_114059_cov_20.720596	7806	9941	-	1126.5	585	https://v10-1.orthodb.org/?query=11276at91347	Polyribonucleotide nucleotidyltransferase
11342at91347	Complete	NODE_12_length_172642_cov_15.782778	153297	155096	-	921.3	516	https://v10-1.orthodb.org/?query=11342at91347	Elongation factor 4
11564at91347	Complete	NODE_6_length_224352_cov_18.666855	25250	27184	+	882.8	533	https://v10-1.orthodb.org/?query=11564at91347	Exoribonuclease 2
12067at91347	Complete	NODE_17_length_146373_cov_17.419007	131501	133174	-	908.6	593	https://v10-1.orthodb.org/?query=12067at91347	S1 domain
12072at91347	Complete	NODE_19_length_114059_cov_20.720596	4704	6635	-	837.5	460	https://v10-1.orthodb.org/?query=12072at91347	ATP-dependent RNA helicase DeaD
12374at91347	Complete	NODE_5_length_245832_cov_18.562804	160606	162468	+	964.9	521	https://v10-1.orthodb.org/?query=12374at91347	1-deoxy-D-xylulose-5-phosphate synthase
12745at91347	Complete	NODE_5_length_245832_cov_18.562804	75698	77605	-	815.2	538	https://v10-1.orthodb.org/?query=12745at91347	DNA polymerase III subunit gamma/tau
12922at91347	Complete	NODE_2_length_391047_cov_19.755511	305102	306943	-	770.9	504	https://v10-1.orthodb.org/?query=12922at91347	NADH-plastoquinone oxidoreductase, chain 5
13022at91347	Complete	NODE_2_length_391047_cov_19.755511	60298	61722	+	599.6	375	https://v10-1.orthodb.org/?query=13022at91347	Exodeoxyribonuclease I
13051at91347	Complete	NODE_13_length_168725_cov_21.080155	141145	142791	-	1004.2	494	https://v10-1.orthodb.org/?query=13051at91347	GroEL-like apical domain superfamily
13068at91347	Complete	NODE_4_length_362292_cov_18.613426	23307	25736	-	864.0	644	https://v10-1.orthodb.org/?query=13068at91347	Outer membrane protein assembly factor BamA
13089at91347	Complete	NODE_4_length_362292_cov_18.613426	154016	155587	+	808.3	441	https://v10-1.orthodb.org/?query=13089at91347	2-isopropylmalate synthase
13521at91347	Complete	NODE_6_length_224352_cov_18.666855	52158	53720	+	748.3	434	https://v10-1.orthodb.org/?query=13521at91347	anthranilate synthase component I
13589at91347	Complete	NODE_21_length_100685_cov_19.804688	82684	84573	-	970.3	528	https://v10-1.orthodb.org/?query=13589at91347	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
13669at91347	Complete	NODE_12_length_172642_cov_15.782778	91646	93124	-	510.8	357	https://v10-1.orthodb.org/?query=13669at91347	GTPase Der
